<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
XAUAUD,20010103,00:00:00,478.4583,473.2330,483.0481,480.9087
XAUAUD,20010104,00:00:00,481.0558,471.0861,482.3403,471.1691
XAUAUD,20010105,00:00:00,470.6038,467.0341,472.8891,468.5914
XAUAUD,20010108,00:00:00,469.2927,469.2927,475.3309,472.8539
XAUAUD,20010109,00:00:00,472.6872,472.0950,477.9188,475.3108
XAUAUD,20010110,00:00:00,475.1956,474.7310,480.2052,477.7898
XAUAUD,20010111,00:00:00,477.5270,469.9929,479.4357,471.3725
XAUAUD,20010112,00:00:00,471.3062,469.8039,476.3191,474.3935
XAUAUD,20010115,00:00:00,474.4027,474.4027,486.1387,474.5091
XAUAUD,20010116,00:00:00,474.5946,472.9308,478.6217,475.0315
XAUAUD,20010117,00:00:00,475.0315,473.1800,479.3775,476.9315
XAUAUD,20010118,00:00:00,476.7408,473.6804,477.5735,474.1271
XAUAUD,20010119,00:00:00,473.0260,472.1925,476.3549,475.9669
XAUAUD,20010122,00:00:00,476.3191,476.0577,482.5213,480.3890
XAUAUD,20010123,00:00:00,480.6556,478.6906,483.9698,483.1277
XAUAUD,20010124,00:00:00,482.7836,479.7201,487.9034,486.5024
XAUAUD,20010125,00:00:00,486.6176,483.4190,489.0242,484.7098
XAUAUD,20010126,00:00:00,484.8013,482.2039,487.9587,483.0882
XAUAUD,20010129,00:00:00,484.0963,469.9135,485.8040,484.0788
XAUAUD,20010130,00:00:00,483.8116,483.5569,488.5851,485.5133
XAUAUD,20010131,00:00:00,485.8266,481.7407,488.2040,483.4425
XAUAUD,20010201,00:00:00,483.4091,480.5336,486.1176,485.2462
XAUAUD,20010202,00:00:00,485.2462,481.4814,485.6314,484.0580
XAUAUD,20010205,00:00:00,485.7299,479.9168,486.1718,482.5573
XAUAUD,20010206,00:00:00,482.0909,477.8729,483.8780,480.5692
XAUAUD,20010207,00:00:00,478.5610,478.5610,483.0859,482.3982
XAUAUD,20010208,00:00:00,482.1330,481.8681,491.8489,486.8323
XAUAUD,20010209,00:00:00,485.4694,483.5042,488.2585,485.9115
XAUAUD,20010212,00:00:00,484.6397,483.3921,487.2992,484.5954
XAUAUD,20010213,00:00:00,484.3257,443.3787,489.5892,488.3852
XAUAUD,20010214,00:00:00,489.2897,489.0537,493.8709,490.7373
XAUAUD,20010215,00:00:00,492.6917,486.4572,494.8464,487.8314
XAUAUD,20010216,00:00:00,488.2039,480.9470,488.4483,487.3304
XAUAUD,20010219,00:00:00,489.5932,488.2975,491.9522,489.6187
XAUAUD,20010220,00:00:00,489.8961,487.9102,493.6251,489.4425
XAUAUD,20010221,00:00:00,489.4807,486.4757,493.1271,492.5629
XAUAUD,20010222,00:00:00,492.8476,490.3041,497.7003,493.9874
XAUAUD,20010223,00:00:00,493.7942,493.5256,500.3070,497.0516
XAUAUD,20010226,00:00:00,497.0561,497.0561,511.1196,504.7911
XAUAUD,20010227,00:00:00,504.2129,504.2129,515.2653,509.8021
XAUAUD,20010228,00:00:00,509.7087,503.0614,510.8537,507.8943
XAUAUD,20010301,00:00:00,507.7011,502.2710,507.7011,503.7550
XAUAUD,20010302,00:00:00,501.6104,495.5585,503.5051,496.2410
XAUAUD,20010305,00:00:00,496.6887,496.6887,504.7299,503.5810
XAUAUD,20010306,00:00:00,504.5664,500.6728,507.3288,500.7692
XAUAUD,20010307,00:00:00,504.7490,503.1933,514.7348,512.8205
XAUAUD,20010308,00:00:00,513.6248,512.9209,521.9350,521.8157
XAUAUD,20010309,00:00:00,522.0113,520.4599,535.3474,534.8682
XAUAUD,20010312,00:00:00,535.7888,529.6333,540.9467,534.8654
XAUAUD,20010313,00:00:00,534.7604,530.3253,536.8557,532.2465
XAUAUD,20010314,00:00:00,531.0652,526.7696,537.5226,529.4059
XAUAUD,20010315,00:00:00,530.1069,528.1968,534.8294,528.9457
XAUAUD,20010316,00:00:00,528.6236,522.5343,530.1787,523.4628
XAUAUD,20010319,00:00:00,523.2229,516.5675,526.2068,522.3225
XAUAUD,20010320,00:00:00,522.6589,519.3798,526.8234,519.4831
XAUAUD,20010321,00:00:00,519.8449,518.8980,533.1104,531.8081
XAUAUD,20010322,00:00:00,531.9765,529.0199,534.6726,530.2815
XAUAUD,20010323,00:00:00,530.6039,525.6564,534.9705,527.9356
XAUAUD,20010326,00:00:00,525.6719,522.2732,534.1857,523.4790
XAUAUD,20010327,00:00:00,524.9700,523.3927,529.0674,524.0024
XAUAUD,20010328,00:00:00,524.0674,522.4021,529.4965,526.6572
XAUAUD,20010329,00:00:00,526.7640,523.6746,530.4746,523.6746
XAUAUD,20010330,00:00:00,525.5786,525.5786,533.5391,530.9024
XAUAUD,20010402,00:00:00,530.8833,526.7875,533.8771,533.3194
XAUAUD,20010403,00:00:00,533.3194,526.6242,534.3964,527.5154
XAUAUD,20010404,00:00:00,527.4128,525.1632,536.5707,528.2266
XAUAUD,20010405,00:00:00,527.5848,523.6842,529.8669,527.3581
XAUAUD,20010406,00:00:00,527.2504,520.4720,527.3581,521.9140
XAUAUD,20010409,00:00:00,521.1635,521.1635,529.9614,526.4832
XAUAUD,20010410,00:00:00,526.4832,517.0260,526.6109,518.4364
XAUAUD,20010411,00:00:00,518.4364,511.1111,519.7980,513.6074
XAUAUD,20010412,00:00:00,513.5478,508.5194,515.2990,509.7078
XAUAUD,20010416,00:00:00,511.4331,511.3323,518.5368,515.9522
XAUAUD,20010417,00:00:00,515.1723,515.0295,519.9206,517.1163
XAUAUD,20010418,00:00:00,517.6494,516.7593,526.8872,518.4743
XAUAUD,20010419,00:00:00,518.6805,512.7515,521.4871,514.3522
XAUAUD,20010420,00:00:00,514.5518,509.0120,516.8587,511.6531
XAUAUD,20010423,00:00:00,515.3290,509.3185,521.8384,519.2270
XAUAUD,20010424,00:00:00,519.0222,517.7974,526.4606,521.1295
XAUAUD,20010425,00:00:00,521.9541,516.6535,525.5620,517.3673
XAUAUD,20010426,00:00:00,515.5949,514.1243,521.8341,514.2245
XAUAUD,20010427,00:00:00,514.1243,513.9241,521.3057,518.1729
XAUAUD,20010430,00:00:00,518.7807,514.6036,519.8186,514.6313
XAUAUD,20010501,00:00:00,515.0332,508.8139,516.7385,511.0058
XAUAUD,20010502,00:00:00,511.1992,506.1244,511.7204,509.9788
XAUAUD,20010503,00:00:00,509.2148,508.0744,512.6638,512.6253
XAUAUD,20010504,00:00:00,514.0205,509.5229,516.1422,511.9299
XAUAUD,20010507,00:00:00,511.8383,510.9528,514.0097,513.3153
XAUAUD,20010508,00:00:00,513.4144,509.4964,514.1692,512.6695
XAUAUD,20010509,00:00:00,512.7858,508.4742,516.6346,513.7090
XAUAUD,20010510,00:00:00,513.9048,510.5083,516.7177,513.7726
XAUAUD,20010511,00:00:00,513.8491,511.1238,518.4622,513.6172
XAUAUD,20010514,00:00:00,514.7443,514.2034,519.3805,516.8658
XAUAUD,20010515,00:00:00,517.3611,513.6381,519.0181,514.3844
XAUAUD,20010516,00:00:00,514.3844,512.6004,520.5527,518.7870
XAUAUD,20010517,00:00:00,518.7870,515.3001,521.0717,518.8579
XAUAUD,20010518,00:00:00,517.8666,515.9113,542.1062,541.1631
XAUAUD,20010521,00:00:00,539.7734,535.1438,559.9812,541.0738
XAUAUD,20010522,00:00:00,541.6825,535.0484,544.6463,544.5124
XAUAUD,20010523,00:00:00,544.2830,542.4114,549.3700,548.2779
XAUAUD,20010525,00:00:00,534.6316,530.0251,539.5304,532.3665
XAUAUD,20010528,00:00:00,533.5900,531.3642,534.0830,533.0131
XAUAUD,20010529,00:00:00,533.0452,527.7810,537.3259,528.5134
XAUAUD,20010530,00:00:00,528.2319,516.9171,534.3243,518.0843
XAUAUD,20010531,00:00:00,518.5511,518.5511,528.8038,524.1999
XAUAUD,20010601,00:00:00,523.3728,520.4046,527.7998,523.6982
XAUAUD,20010604,00:00:00,524.4238,520.4114,526.2065,522.7434
XAUAUD,20010605,00:00:00,522.7631,520.5224,526.0198,521.0981
XAUAUD,20010606,00:00:00,521.1807,514.1668,522.5825,515.7190
XAUAUD,20010607,00:00:00,515.7190,510.9276,518.0471,510.9276
XAUAUD,20010608,00:00:00,510.8487,508.7685,521.3184,520.1980
XAUAUD,20010611,00:00:00,520.7738,509.8929,521.2827,513.1326
XAUAUD,20010612,00:00:00,512.6437,508.8711,519.7822,516.5841
XAUAUD,20010613,00:00:00,516.6635,510.5213,518.3216,514.6858
XAUAUD,20010614,00:00:00,515.0976,514.2342,525.5947,521.7696
XAUAUD,20010615,00:00:00,521.5422,513.4878,525.2523,515.8385
XAUAUD,20010618,00:00:00,516.5013,514.8120,522.4938,521.5641
XAUAUD,20010619,00:00:00,521.4258,519.8162,526.8832,524.0790
XAUAUD,20010620,00:00:00,524.1796,521.7684,529.0192,524.3691
XAUAUD,20010621,00:00:00,523.4378,522.0518,528.6186,528.6186
XAUAUD,20010622,00:00:00,528.8238,526.0264,531.9149,527.1265
XAUAUD,20010625,00:00:00,526.3107,525.6132,531.0325,529.1216
